head_coach,shots,pim,hits
D.J. Smith,25.0,14.0,26.0
Todd Reirden,22.0,6.0,21.0
Jeremy Colliton,31.0,13.0,25.0
Jared Bednar,35.0,6.0,20.0
Bruce Boudreau,21.0,10.0,13.0
Gerard Gallant,33.0,4.0,13.0
Rick Tocchet,18.0,6.0,19.0
Peter DeBoer,30.0,8.0,20.0
David Quinn,19.0,10.0,22.0
Paul Maurice,38.0,12.0,19.0
Ralph Krueger,29.0,4.0,11.0
Jeremy Colliton,29.0,13.0,13.0
Claude Julien,33.0,4.0,25.0
Rick Tocchet,33.0,4.0,41.0
Todd McLellan,36.0,6.0,32.0
Todd Reirden,36.0,28.0,21.0
D.J. Smith,30.0,16.0,22.0
Ralph Krueger,28.0,4.0,17.0
Sheldon Keefe,27.0,13.0,9.0
Jared Bednar,20.0,6.0,34.0
Mike Sullivan,28.0,6.0,20.0
Peter DeBoer,38.0,8.0,21.0
John Tortorella,34.0,13.0,19.0
Bruce Boudreau,24.0,6.0,21.0
Alain Nasreddine,33.0,12.0,11.0
Barry Trotz,35.0,4.0,36.0
Todd McLellan,33.0,23.0,16.0
Dallas Eakins,33.0,13.0,20.0
Peter DeBoer,31.0,23.0,21.0
David Quinn,25.0,13.0,36.0
Rick Tocchet,47.0,9.0,30.0
Ralph Krueger,22.0,6.0,17.0
Barry Trotz,24.0,10.0,22.0
John Tortorella,38.0,6.0,20.0
Bruce Cassidy,40.0,6.0,20.0
Geoff Ward,33.0,4.0,13.0
Jon Cooper,48.0,6.0,24.0
Claude Julien,26.0,2.0,67.0
Craig Berube,30.0,4.0,24.0
Peter DeBoer,25.0,39.0,21.0
Dallas Eakins,33.0,15.0,9.0
Jeff Blashill,17.0,18.0,30.0
Alain Nasreddine,26.0,10.0,26.0
Rod Brind'Amour,32.0,10.0,17.0
Geoff Ward,29.0,4.0,17.0
Sheldon Keefe,26.0,4.0,8.0
Jeremy Colliton,29.0,4.0,19.0
David Quinn,30.0,12.0,16.0
Bruce Cassidy,32.0,13.0,20.0
D.J. Smith,37.0,10.0,29.0
Alain Vigneault,33.0,4.0,25.0
Peter Laviolette,39.0,2.0,12.0
Bruce Cassidy,29.0,13.0,20.0
Barry Trotz,30.0,21.0,18.0
John Tortorella,17.0,6.0,43.0
Paul Maurice,28.0,8.0,30.0
Gerard Gallant,29.0,0.0,14.0
Dave Tippett,33.0,7.0,15.0
Sheldon Keefe,34.0,2.0,12.0
Jeremy Colliton,30.0,8.0,18.0
Rod Brind'Amour,43.0,10.0,13.0
Todd McLellan,27.0,11.0,17.0
David Quinn,30.0,4.0,19.0
Gerard Gallant,32.0,4.0,21.0
Alain Nasreddine,38.0,10.0,22.0
John Tortorella,41.0,11.0,28.0
Ralph Krueger,35.0,8.0,17.0
David Quinn,32.0,10.0,14.0
Rod Brind'Amour,31.0,12.0,10.0
Rick Bowness,22.0,6.0,15.0
Sheldon Keefe,32.0,4.0,21.0
Alain Vigneault,18.0,15.0,10.0
Jeff Blashill,20.0,6.0,28.0
Todd Reirden,34.0,10.0,18.0
Bruce Cassidy,42.0,6.0,21.0
Todd McLellan,42.0,15.0,32.0
Alain Nasreddine,33.0,6.0,20.0
Jeremy Colliton,22.0,6.0,12.0
Travis Green,35.0,6.0,11.0
Alain Vigneault,32.0,21.0,21.0
Bruce Boudreau,26.0,6.0,21.0
Todd McLellan,32.0,6.0,15.0
Travis Green,29.0,12.0,27.0
D.J. Smith,30.0,16.0,32.0
Peter Laviolette,24.0,10.0,16.0
Todd Reirden,30.0,11.0,20.0
Jared Bednar,28.0,8.0,20.0
Dave Tippett,28.0,6.0,17.0
Todd McLellan,27.0,6.0,24.0
Ralph Krueger,30.0,2.0,25.0
D.J. Smith,28.0,2.0,24.0
Peter Laviolette,24.0,18.0,24.0
